-80	57	-93	20	-90	-29	-74	-61	-47	-57	-14	-19	21	29	53	61
78	57	92	21	91	-27	75	-59	42	-60	0	-31	-39	13	-62	53
-58	76	-29	80	14	74	53	66	76	62	82	62	75	63	66	64
62	64	62	64	64	64	64	64	63	64	62	64	62	64	64	64
64	63	63	62	61	61	62	63	69	68	78	76	81	78	71	70
43	47	1	14	-39	-23	-62	-55	-58	-78	-27	-89	16	-87	55	-71
77	-44	79	-9	71	28	65	57	66	74	75	77	80	73	71	66
41	61	-1	59	-42	59	-63	63	-56	69	-26	75	16	78	55	69
82	46	94	11	91	-27	72	-58	38	-75	-4	-78	-42	-73	-63	-66
-56	-61	-24	-61	19	-62	57	-64	77	-64	80	-62	74	-61	66	-63
61	-70	59	-78	60	-81	63	-69	69	-39	76	3	77	43	68	63
45	56	11	24	-26	-18	-58	-57	-81	-83	-91	-94	-89	-90	-70	-70
-36	-36	6	6	44	44	63	63	55	55	22	22	-21	-22	-58	-58
-78	-78	-81	-80	-73	-73	-65	-65	-61	-61	-62	-59	-64	-60	-64	-63
-63	-69	-63	-75	-63	-77	-64	-67	-64	-43	-62	-9	-61	28	-63	60
-70	81	-77	89	-78	85	-67	68	-42	39	-8	3	29	-33	60	-61
81	-75	89	-77	85	-71	68	-65	38	-61	2	-59	-34	-60	-61	-63
-75	-70	-77	-77	-71	-79	-65	-67	-60	-35	-58	9	-59	49	-63	64
-70	46	-77	3	-77	-42	-66	-63	-41	-50	-7	-8	30	38	61	63
83	55	92	20	88	-25	67	-61	31	-78	-12	-77	-48	-69	-64	-64
-52	-67	-19	-74	23	-76	61	-65	86	-40	95	-3	88	34	66	63
31	76	-12	75	-48	68	-64	64	-52	68	-17	76	27	79	62	65
79	32	77	-13	69	-51	64	-64	68	-44	75	0	77	44	65	64
38	47	3	2	-33	-44	-63	-64	-84	-46	-92	-1	-87	45	-65	64
-28	46	16	2	51	-42	64	-64	50	-53	15	-18	-27	27	-64	64
-87	86	-95	92	-87	84	-64	64	-27	34	17	-2	53	-38	64	-64
42	-77	-2	-77	-46	-71	-64	-64	-45	-61	0	-61	45	-63	64	-64
44	-64	-1	-64	-46	-64	-64	-64	-43	-64	3	-64	47	-64	64	-64
44	-63	-1	-61	-44	-61	-64	-64	-51	-71	-14	-77	30	-76	66	-63
87	-36	94	-1	85	36	62	66	24	84	-20	89	-55	82	-63	62
-40	32	4	-5	46	-40	64	-65	51	-76	14	-74	-30	-67	-67	-64
-88	-68	-94	-75	-85	-75	-61	-62	-23	-34	19	2	53	38	64	67
47	85	11	92	-32	84	-67	60	-89	22	-95	-21	-85	-54	-60	-64
-22	-46	20	-10	53	33	64	68	47	89	10	95	-33	85	-68	60
-89	20	-94	-24	-84	-57	-60	-63	-21	-38	23	6	56	47	63	64
37	50	-9	11	-51	-33	-63	-69	-39	-88	8	-91	50	-81	63	-60
39	-29	-7	8	-49	43	-64	67	-47	77	-6	74	37	67	68	64
80	69	78	75	70	74	63	60	61	30	62	-8	64	-44	64	-68
64	-76	63	-73	64	-66	64	-64	64	-69	64	-75	64	-74	64	-59
64	-29	65	9	64	45	64	68	64	77	64	75	64	69	64	63
62	60	61	59	61	61	65	65	72	72	77	77	75	74	59	59
29	30	-9	-7	-45	-42	-69	-70	-77	-86	-73	-89	-66	-79	-65	-57
-71	-24	-79	13	-77	46	-56	69	-18	77	25	75	56	69	63	63
42	60	3	59	-39	61	-72	66	-90	74	-92	80	-80	76	-56	56
-24	18	11	-25	44	-57	71	-63	89	-40	93	1	81	42	54	71
14	81	-28	77	-57	69	-62	63	-40	61	0	62	42	64	71	64
81	64	75	63	66	63	64	64	71	65	79	65	76	64	54	64
13	64	-31	64	-60	64	-60	64	-29	62	16	61	54	62	64	66
42	73	0	77	-44	73	-72	56	-79	24	-73	-14	-65	-49	-65	-70
-72	-76	-78	-72	-74	-65	-55	-65	-24	-70	13	-76	47	-73	73	-55
89	-23	92	15	80	49	50	71	10	77	-32	72	-59	65	-62	65
-39	72	1	79	43	75	76	52	92	11	91	-33	77	-61	52	-59
21	-26	-14	20	-48	56	-74	63	-89	38	-89	-5	-76	-47	-52	-73
